Outlook,Temperature,Humidity,Windy,PlayTennis,,,,,,,,,,,,,,,
Sunny,Hot,High,False,No,,,,,,,,,,,,,,,
Sunny,Hot,High,True,No,,,,,,,,,,,,,,,
Overcast,Hot,High,False,Yes,,,,,,,,,,,,,,,
Rainy,Mild,High,False,Yes,,,,,,,,,,,,,,,
Rainy,Cool,Normal,False,Yes,,,,,,,,,,,,,,,
Rainy,Cool,Normal,True,No,,,,,,,,,,,,,,,
Overcast,Cool,Normal,True,Yes,,,,,,,,,,,,,,,
Sunny,Mild,High,False,No,,,,,,,,,,,,,,,
Sunny,Cool,Normal,False,Yes,,,,,,,,,,,,,,,
Rainy,Mild,Normal,False,Yes,,,,,,,,,,,,,,,
Sunny,Mild,Normal,True,Yes,,,,,,,,,,,,,,,
Overcast,Mild,High,True,Yes,,,,,,,,,,,,,,,
Overcast,Hot,Normal,False,Yes,,,,,,,,,,,,,,,
Rainy,Mild,High,True,No,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Windy,,,,,,Humidity,,,,,,Temperature,,,,
,,,True,,,,,,High,,,,,,хот,,,,
,,,1,,,,,,0,,,,,,0,,,,
,,,1,2,,,,,3,3,,,,,2,2,,,
,,,е,1,"0,4","0,4",,,е,0,"0,6",0,,,е,0,"0,4",0,
,,,,,,,,,,,,,,,,,,,
,,,False,,,,,,Normal,,,,,,милд,,,,
,,,1,,,,,,2,,,,,,1,,,,
,,,2,3,,,,,0,2,,,,,1,2,,,
,,,е,"0,91829583405449","0,6","0,550977500432694",,,е,0,"0,4",0,,,е,1,"0,4","0,4",
,,,,,,,,,,,,,,,,,,,
,,,,,,0,"0,950977500432694",,,,,0,0,,колд,,,,
,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,0,1,,,
,,,,,,,,,,,,,,,е,0,"0,2",0,"0,4"
,,,,,,,,,,,,,,,,,,,"-0,4"
